n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,uniform_x,1.0,0.0625,16,1.0,mass_density,trotter2,0.1171066749350515,0.0001921181266417299,0.0013869545250919976,1.9236428546731688e-06,2.220446049250313e-16,0.47154419806539244,0.009583379332925909,0.029471512379087027,3.743507551924183e-05
3,1.0,0.5,0.5,uniform_x,1.0,0.03125,32,1.0,mass_density,exact,0.11729879306169323,0.0,0.0,0.0,8.881784197001252e-16,0.47154419806539244,0.009583379332925909,0.014735756189543514,9.358768879810458e-06
3,1.0,0.5,0.5,uniform_x,1.0,0.03125,32,1.0,mass_density,trotter1,0.11725082597788523,4.796708380799819e-05,0.017460212152679917,0.0003048590084165914,2.6645352591003757e-15,0.47154419806539244,0.009583379332925909,0.014735756189543514,9.358768879810458e-06
3,1.0,0.5,0.5,uniform_x,1.0,0.03125,32,1.0,mass_density,trotter2,0.117250825977885,4.796708380823411e-05,0.00034639109215875267,1.1998678872693347e-07,4.440892098500626e-16,0.47154419806539244,0.009583379332925909,0.014735756189543514,9.358768879810458e-06
3,1.0,0.5,0.5,uniform_x,2.0,0.5,4,2.0,mass_density,exact,-0.007412552465313964,0.0,0.0,0.0,8.141635513917814e-16,0.48525924662571074,0.24610975038612132,0.24262962331285537,0.06152743759653033
3,1.0,0.5,0.5,uniform_x,2.0,0.5,4,2.0,mass_density,trotter1,-0.06008463742973705,0.052672084964423084,0.33230536786645914,0.11042685751286274,1.1102230246251565e-15,0.48525924662571074,0.24610975038612132,0.24262962331285537,0.06152743759653033
3,1.0,0.5,0.5,uniform_x,2.0,0.5,4,2.0,mass_density,trotter2,-0.060084637429737076,0.05267208496442311,0.15051861511505907,0.022655853496155287,3.3306690738754696e-16,0.48525924662571074,0.24610975038612132,0.24262962331285537,0.06152743759653033
3,1.0,0.5,0.5,uniform_x,2.0,0.25,8,2.0,mass_density,exact,-0.007412552465313964,0.0,0.0,0.0,8.141635513917814e-16,0.48525924662571074,0.24610975038612132,0.12131481165642768,0.015381859399132582
3,1.0,0.5,0.5,uniform_x,2.0,0.25,8,2.0,mass_density,trotter1,-0.01905688397930802,0.011644331513994056,0.15602608296268924,0.024344138564679985,4.440892098500626e-16,0.48525924662571074,0.24610975038612132,0.12131481165642768,0.015381859399132582
3,1.0,0.5,0.5,uniform_x,2.0,0.25,8,2.0,mass_density,trotter2,-0.019056883979308055,0.011644331513994091,0.03461224420638362,0.0011980074490023362,2.220446049250313e-16,0.48525924662571074,0.24610975038612132,0.12131481165642768,0.015381859399132582
