n_sites,j,g,m,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation
4,1.0,1.0,0.5,0.2,10,2.0,staggered_magnetization,exact,0.760740193814324,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.2,10,2.0,staggered_magnetization,trotter1,0.7734430199765956,0.012702826162271585,0.252319303893727,0.06366503111741495,1.0547118733938987e-15
4,1.0,1.0,0.5,0.2,10,2.0,staggered_magnetization,trotter2,0.7734430199765956,0.012702826162271585,0.04221571296519057,0.001782166421159359,6.661338147750939e-16
4,1.0,1.0,0.5,0.1,20,2.0,staggered_magnetization,exact,0.760740193814324,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.1,20,2.0,staggered_magnetization,trotter1,0.7639055348296431,0.0031653410153190675,0.1217243879228171,0.014816826615184464,2.7755575615628914e-17
4,1.0,1.0,0.5,0.1,20,2.0,staggered_magnetization,trotter2,0.7639055348296411,0.003165341015317069,0.01025085760851563,0.00010508008171006278,2.4702462297909733e-15
4,1.0,1.0,0.5,0.05,40,2.0,staggered_magnetization,exact,0.760740193814324,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.05,40,2.0,staggered_magnetization,trotter1,0.7615294497446454,0.0007892559303214197,0.059560320206808334,0.0035474317431375413,6.772360450213455e-15
4,1.0,1.0,0.5,0.05,40,2.0,staggered_magnetization,trotter2,0.7615294497446472,0.0007892559303231961,0.002544098078503408,6.472435033044732e-06,4.6629367034256575e-15
4,1.0,1.0,0.5,0.025,80,2.0,staggered_magnetization,exact,0.760740193814324,0.0,0.0,0.0,3.0531133177191805e-16
4,1.0,1.0,0.5,0.025,80,2.0,staggered_magnetization,trotter1,0.7609373570371738,0.00019716322284979437,0.029440685397375575,0.0008667539566672433,3.497202527569243e-15
4,1.0,1.0,0.5,0.025,80,2.0,staggered_magnetization,trotter2,0.760937357037168,0.0001971632228440212,0.0006348660926788487,4.030549556333085e-07,2.220446049250313e-15
4,1.0,1.5,0.5,0.4,5,2.0,staggered_magnetization,exact,0.552106349758609,0.0,0.0,0.0,1.2490009027033011e-15
4,1.0,1.5,0.5,0.4,5,2.0,staggered_magnetization,trotter1,0.3327728117408202,0.21933353801778877,0.6863178920484533,0.4710322489458324,1.1102230246251565e-16
4,1.0,1.5,0.5,0.4,5,2.0,staggered_magnetization,trotter2,0.33277281174082024,0.2193335380177887,0.2560937023787446,0.06558398439805302,0.0
4,1.0,1.5,0.5,0.2,10,2.0,staggered_magnetization,exact,0.552106349758609,0.0,0.0,0.0,1.2490009027033011e-15
