n_sites,j,g,m,initial_state,t_target,dt,n_steps,t_used,observable_name,method,observable,observable_error,state_error,state_infidelity,gauss_violation,defect1_obs_response,defect2_obs_response,defect1_predictor,defect2_predictor
3,1.0,0.5,0.5,neel_x,0.5,0.03125,16,0.5,staggered_magnetization,trotter1,0.40083263415117415,0.0003882906988474377,0.025737881610605116,0.0006624385498015251,1.0362081563168128e-15,2.2402997134868072,0.19998671545595847,0.07000936604646273,0.00019529952681245945
3,1.0,0.5,0.5,neel_x,0.5,0.03125,16,0.5,staggered_magnetization,trotter2,0.4008326341511747,0.0003882906988468826,0.0004859832336100736,2.361797033501034e-07,1.6283271027835629e-15,2.2402997134868072,0.19998671545595847,0.07000936604646273,0.00019529952681245945
3,1.0,0.5,0.5,neel_x,1.0,0.5,2,1.0,staggered_magnetization,exact,0.4127150641514276,0.0,0.0,0.0,3.3306690738754696e-16,2.2481481067781646,0.25034367122724943,1.1240740533890823,0.06258591780681236
3,1.0,0.5,0.5,neel_x,1.0,0.5,2,1.0,staggered_magnetization,trotter1,0.3165530025908214,0.0961620615606062,0.46957542078565917,0.22050107580602885,5.551115123125783e-16,2.2481481067781646,0.25034367122724943,1.1240740533890823,0.06258591780681236
3,1.0,0.5,0.5,neel_x,1.0,0.5,2,1.0,staggered_magnetization,trotter2,0.3165530025908212,0.09616206156060642,0.1748317583304184,0.030566143720905825,6.661338147750939e-16,2.2481481067781646,0.25034367122724943,1.1240740533890823,0.06258591780681236
3,1.0,0.5,0.5,neel_x,1.0,0.25,4,1.0,staggered_magnetization,exact,0.4127150641514276,0.0,0.0,0.0,3.3306690738754696e-16,2.2481481067781646,0.25034367122724943,0.5620370266945411,0.01564647945170309
3,1.0,0.5,0.5,neel_x,1.0,0.25,4,1.0,staggered_magnetization,trotter1,0.38719794526589835,0.025517118885529266,0.21788813318696684,0.047475238583701396,3.7007434154171886e-16,2.2481481067781646,0.25034367122724943,0.5620370266945411,0.01564647945170309
3,1.0,0.5,0.5,neel_x,1.0,0.25,4,1.0,staggered_magnetization,trotter2,0.387197945265898,0.0255171188855296,0.04103531098986493,0.0016838967480349298,5.181040781584064e-16,2.2481481067781646,0.25034367122724943,0.5620370266945411,0.01564647945170309
3,1.0,0.5,0.5,neel_x,1.0,0.125,8,1.0,staggered_magnetization,exact,0.4127150641514276,0.0,0.0,0.0,3.3306690738754696e-16,2.2481481067781646,0.25034367122724943,0.28101851334727057,0.003911619862925772
3,1.0,0.5,0.5,neel_x,1.0,0.125,8,1.0,staggered_magnetization,trotter1,0.40629031722722375,0.006424746924203861,0.10421102839370859,0.01085993843887434,4.070817756958907e-16,2.2481481067781646,0.25034367122724943,0.28101851334727057,0.003911619862925772
3,1.0,0.5,0.5,neel_x,1.0,0.125,8,1.0,staggered_magnetization,trotter2,0.4062903172272238,0.006424746924203806,0.01009062235141456,0.00010182065943886709,3.7007434154171886e-16,2.2481481067781646,0.25034367122724943,0.28101851334727057,0.003911619862925772
3,1.0,0.5,0.5,neel_x,1.0,0.0625,16,1.0,staggered_magnetization,exact,0.4127150641514276,0.0,0.0,0.0,3.3306690738754696e-16,2.2481481067781646,0.25034367122724943,0.14050925667363529,0.000977904965731443
3,1.0,0.5,0.5,neel_x,1.0,0.0625,16,1.0,staggered_magnetization,trotter1,0.41110666905895216,0.0016083950924754564,0.05090775344994476,0.0025915993613203625,2.220446049250313e-15,2.2481481067781646,0.25034367122724943,0.14050925667363529,0.000977904965731443
3,1.0,0.5,0.5,neel_x,1.0,0.0625,16,1.0,staggered_magnetization,trotter2,0.41110666905895366,0.0016083950924739576,0.002512154744586887,6.310921460750407e-06,8.141635513917814e-16,2.2481481067781646,0.25034367122724943,0.14050925667363529,0.000977904965731443
3,1.0,0.5,0.5,neel_x,1.0,0.03125,32,1.0,staggered_magnetization,exact,0.4127150641514276,0.0,0.0,0.0,3.3306690738754696e-16,2.2481481067781646,0.25034367122724943,0.07025462833681764,0.00024447624143286077
3,1.0,0.5,0.5,neel_x,1.0,0.03125,32,1.0,staggered_magnetization,trotter1,0.4123128368596989,0.0004022272917287295,0.025154296108163957,0.0006327386126971923,2.220446049250313e-15,2.2481481067781646,0.25034367122724943,0.07025462833681764,0.00024447624143286077
3,1.0,0.5,0.5,neel_x,1.0,0.03125,32,1.0,staggered_magnetization,trotter2,0.4123128368596992,0.00040222729172839644,0.0006273826767146517,3.9360902304164114e-07,3.4046839421838135e-15,2.2481481067781646,0.25034367122724943,0.07025462833681764,0.00024447624143286077
3,1.0,0.5,0.5,neel_x,2.0,0.5,4,2.0,staggered_magnetization,exact,0.2786873035848868,0.0,0.0,0.0,7.401486830834377e-17,2.795099345242322,0.0019131280329112857,1.397549672621161,0.00047828200822782143
3,1.0,0.5,0.5,neel_x,2.0,0.5,4,2.0,staggered_magnetization,trotter1,0.14794880376200042,0.13073849982288638,0.5133468133805718,0.26352495080798755,7.031412489292658e-16,2.795099345242322,0.0019131280329112857,1.397549672621161,0.00047828200822782143
3,1.0,0.5,0.5,neel_x,2.0,0.5,4,2.0,staggered_magnetization,trotter2,0.14794880376200045,0.13073849982288635,0.22689538804221762,0.05148151711482851,6.661338147750939e-16,2.795099345242322,0.0019131280329112857,1.397549672621161,0.00047828200822782143
3,1.0,0.5,0.5,neel_x,2.0,0.25,8,2.0,staggered_magnetization,exact,0.2786873035848868,0.0,0.0,0.0,7.401486830834377e-17,2.795099345242322,0.0019131280329112857,0.6987748363105805,0.00011957050205695536
3,1.0,0.5,0.5,neel_x,2.0,0.25,8,2.0,staggered_magnetization,trotter1,0.24070314323764452,0.03798416034724228,0.22660367236621373,0.05134922432985434,4.440892098500626e-16,2.795099345242322,0.0019131280329112857,0.6987748363105805,0.00011957050205695536
3,1.0,0.5,0.5,neel_x,2.0,0.25,8,2.0,staggered_magnetization,trotter2,0.2407031432376447,0.03798416034724211,0.054159891848817164,0.002933293885075572,4.810966440042345e-16,2.795099345242322,0.0019131280329112857,0.6987748363105805,0.00011957050205695536
3,1.0,0.5,0.5,neel_x,2.0,0.125,16,2.0,staggered_magnetization,exact,0.2786873035848868,0.0,0.0,0.0,7.401486830834377e-17,2.795099345242322,0.0019131280329112857,0.34938741815529023,2.989262551423884e-05
3,1.0,0.5,0.5,neel_x,2.0,0.125,16,2.0,staggered_magnetization,trotter1,0.268962774394339,0.009724529190547782,0.10564888159300695,0.011161686181853203,1.0362081563168128e-15,2.795099345242322,0.0019131280329112857,0.34938741815529023,2.989262551423884e-05
